vendor_id,vendor_name,vendor_phone,vendor_email,vendor_type_code
422,Darryl's Kitchen,7862250013,catering@darrylskitchen.com,CTR
423,Southside Catering,3524948878,inquiries.cater@southsidefoods/com,CTR
424,Theresa Decorum LLC,3529961310,businessinquiries@theresadec.com,DEC
427,Paisely & Pam,3527482256,events@paisleypam.com,DEC
428,Jonah's Fieldhaus,3526168898,cateringforms@jfieldhaus.com,CTR
430,Bourbon Boys,4074469979,dolan.mackey@bourbonboys.com,BAR
431,Napoleon's Royal Bakery,4075612353,catering@napoleonbakery.com,CTR
432,Sweet Tree,4070346656,sweets@sweettree.com,CTR
433,Davey's BBQ Pit,4078032251,eventfoods@daveysbbq.com,CTR
438,Flower & Fire,9546102238,inquiries.decoration@fireflower.com,DEC
439,Simpler Times,9543941074,decorations.group@simplertimes.com,DEC
440,Jared on Fourth,3526614474,jared.booth@jaredfourth.com,UTL
441,Three C's Entertainment,3526165658,carl.wheezer@cccentertainment.com,ENT
442,Event Util,7869982201,jeanie.code@eventutil.com,UTL
446,Mead & Mince,4076692013,catering.inq@mincedmead.com,CTR
447,Wine Slappers,7866062288,group.events@wineslappers.com,BAR
448,Sunflower Decor,4078586632,decor.group@sunflowerdecor.com,DEC
449,Player Three,4073539955,smith.jensen@playerthree.com,ENT
450,Fun For Kids,3528840012,inquiries@funforkidsllc.com,ENT
451,Castled Sons,8130036987,event.inquiries@castledsons.com,ENT
452,Band Connect,8134946913,band.inquiries@connectingbands.com,ENT
453,Hearth with Heart,8130321195,macy.shalone@hnh.com,DEC
454,Hemingway,4075594492,bar.inquries@hemingwaybar.com,BAR
455,Nebula Staff,8139965585,davidpolk@nebulastaffing.com,UTL
456,The Fox Group,8139942202,customer.service@thefoxgroup.com,UTL
457,Two Time Mixes,3526019987,ian.callay@ttm.com,BAR
458,Lima de Coco,8130032797,catering.events@coconutlime.com,CTR
460,Mezza Moose,4075952272,vivianmarat@mezzamoose.com,CTR
